#doc name topic proportion ...
0	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_100_posts.txt	4	0.6858728139407926	0	0.1721813336746504	13	0.07630573620897997	8	0.028075874084987767	3	0.02055274438432958	12	0.004514817842195446	1	0.0023985586399683655	6	0.002364102198843583	9	0.0018901411843078623	7	0.00178335167681587	5	0.0016238385268118238	10	0.001236692865816597	11	7.737988775489325E-4	14	2.967209617364765E-4	2	1.294749322146767E-4	
1	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_101_posts.txt	13	0.3704772466539371	0	0.23855894439470937	5	0.20394390624291114	4	0.11119262480945225	8	0.07551913833296456	12	8.511324782148716E-5	1	4.521757534269067E-5	6	4.456800326359345E-5	9	3.563290052016012E-5	7	3.3619707046227926E-5	10	2.331410702411159E-5	3	1.8051749659574005E-5	11	1.4587639619317291E-5	14	5.593777120767712E-6	2	2.4408586076862086E-6	
2	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_106_posts.txt	0	0.3850806538397496	13	0.2565976745087211	6	0.11859749651984065	8	0.09587804461303095	1	0.08063079256734128	4	0.06211060191350259	11	9.812026701330992E-4	12	4.48603752363369E-5	9	1.8780922230180697E-5	7	1.7719834597226535E-5	5	1.6134871479239055E-5	10	1.228809399443135E-5	3	9.514479638931924E-6	14	2.9482947372938256E-6	2	1.2864957670197493E-6	
3	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_107_posts.txt	12	0.49903041813896726	4	0.43385698763604863	13	0.04031450030373192	0	0.019614479371582387	8	0.004856386780597827	1	4.148874737210572E-4	6	4.089274168879801E-4	9	3.2694464411508356E-4	7	3.0847287184110946E-4	5	2.808812979985206E-4	10	2.1391529492656861E-4	3	1.656312784519143E-4	11	1.3384682622506175E-4	14	5.132491162131974E-5	2	2.2395753283505635E-5	
4	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_108_posts.txt	0	0.3226634827927608	7	0.20725469716464429	4	0.18319397640661267	13	0.15785780630029886	8	0.12724485429745092	6	0.0013396101986334807	12	1.4554616048403248E-4	1	7.732338555954653E-5	9	6.093330933036614E-5	5	5.234839390742296E-5	10	3.9867809645687235E-5	3	3.086902356822822E-5	11	2.4945293376296014E-5	14	9.565523621407742E-6	2	4.173940105989503E-6	
5	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_109_posts.txt	13	0.5214016560035909	0	0.24306044419882478	4	0.10768212398396819	8	0.045632965212185385	12	0.038856094974800796	6	0.023665981747799603	11	0.0193822450353167	1	7.404901824087838E-5	9	5.835300280025437E-5	7	5.505616525105305E-5	5	5.01316276735747E-5	10	3.8179551274354136E-5	3	2.9561831427072362E-5	14	9.160458094268279E-6	2	3.9971887522531175E-6	
6	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_110_posts.txt	13	0.3944272722221236	4	0.2945147234003208	12	0.18778466193745058	0	0.05259833637408063	7	0.039455120616694955	8	0.01885405592843744	9	0.008497516641703616	1	9.486374462225666E-4	6	9.350098159575157E-4	5	6.422332176848093E-4	10	4.89115897539781E-4	3	3.787148153594114E-4	11	3.0603987697277617E-4	14	1.17354068686062E-4	2	5.120774076534179E-5	
7	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_111_posts.txt	4	0.33891327995313886	13	0.2344454468500085	0	0.22291611741551648	10	0.09854182840046122	8	0.045790241811912234	6	0.0401048691508562	12	0.011241390552268691	1	0.007921886578072848	9	3.167763282059909E-5	7	2.9887904711657495E-5	5	2.7214559970092255E-5	3	1.6047997472499618E-5	11	1.2968405177078202E-5	14	4.972865389156126E-6	2	2.169922223915972E-6	
8	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_112_posts.txt	13	0.35372738136642384	0	0.2392999363516783	4	0.1792437872307798	8	0.11573466326099796	6	0.10578504873701207	1	0.004765034816171016	9	0.0012171459745896264	12	9.056658109158605E-5	7	3.577377203210064E-5	5	3.2573961731893546E-5	10	2.4807876780893644E-5	3	1.9208352298078876E-5	11	1.5522291539017064E-5	14	5.952178799225334E-6	2	2.597248074585885E-6	
9	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_113_posts.txt	0	0.3260089439787028	4	0.2188858285618283	12	0.20522560114694677	13	0.14849444941962298	8	0.10104745052892905	1	6.020830441209476E-5	6	5.934338334590572E-5	9	4.74460761185084E-5	7	4.47654599067737E-5	5	4.076138173535054E-5	10	3.104330212678626E-5	3	2.4036344948563215E-5	11	1.9423797941341064E-5	14	7.448250666873386E-6	2	3.2500627679544255E-6	
10	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_114_posts.txt	11	0.30601555287077525	13	0.1810820946715739	8	0.14836469336822436	4	0.11199413033593407	0	0.11186244435105953	6	0.10166297411864952	1	0.02516620370012103	10	0.012890261708814498	12	7.529862738976971E-4	9	5.903151241633875E-5	7	5.56963403192572E-5	5	5.071454183075898E-5	3	2.9905566726539188E-5	14	9.266972902528872E-6	2	4.0436667546790056E-6	
11	file:/Users/Amanda/mallet-2.0.7/THATCamp/wp_115_posts.txt	0	0.2667112903743496	4	0.21812242490232128	13	0.17518758642947682	8	0.16476829567800355	3	0.12753452937718707	7	0.02897415901831431	10	0.01699457419733264	5	0.0010785196414033733	12	2.2947889291588378E-4	1	1.2191379597855783E-4	6	1.2016244603720749E-4	9	9.607198376330611E-5	11	3.933060335234573E-5	14	1.5081715405623508E-5	2	6.580944158432534E-6	
